Feature Type,Method,N Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,NMI,ARI,Purity
Beta-VAE,KMEANS,8,0.18612578511238098,1.4606619345632832,289.4036865234375,0.005334470983170827,-0.0005555419447046164,0.18219895287958116
Beta-VAE,AGGLOMERATIVE,8,0.1235879436135292,1.6572283323926529,235.07122802734375,0.006403680579876321,0.00021463173034491062,0.1712041884816754
CVAE,KMEANS,8,0.10448190569877625,2.050212171001502,137.8542022705078,0.007038398610086475,0.0004072810042605359,0.1743455497382199
CVAE,AGGLOMERATIVE,8,0.05798821523785591,2.4872952639982335,103.71124267578125,0.007952678569866669,7.507311598781963e-05,0.17539267015706805
PCA,KMEANS,8,0.08894775226680117,2.5127503395139037,109.29812792675546,0.10879013270384684,0.07819328894457536,0.31518324607329845
PCA,AGGLOMERATIVE,8,0.055851244244630095,3.196149656756674,88.7532316809533,0.07600617253899611,0.045393053779142614,0.2706806282722513
Autoencoder,KMEANS,8,0.16199012100696564,1.934011826379125,142.0120391845703,0.006487176312140114,-0.0017968179101589302,0.16387434554973823
Autoencoder,AGGLOMERATIVE,8,0.0682717114686966,2.3273921902406247,108.00336456298828,0.0072233686337013926,0.0010346837118781346,0.16858638743455498
Spectral,KMEANS,8,0.07304554432630539,2.2796149264940753,190.0318145751953,0.14642629340612107,0.09785692086818362,0.34345549738219894
Spectral,AGGLOMERATIVE,8,0.047324009239673615,2.7276908719571757,157.67770385742188,0.15059285687347215,0.10911206690996841,0.3612565445026178
